2022-11-03 18:36:41 configure libpython3.10-stdlib:amd64 3.10.6-1~22.04.1 <none>
2022-11-03 18:36:41 status unpacked libpython3.10-stdlib:amd64 3.10.6-1~22.04.1
2022-11-03 18:36:41 status half-configured libpython3.10-stdlib:amd64 3.10.6-1~22.04.1
2022-11-03 18:36:41 status installed libpython3.10-stdlib:amd64 3.10.6-1~22.04.1
2022-11-03 18:36:41 configure libpython3.10:amd64 3.10.6-1~22.04.1 <none>
2022-11-03 18:36:41 status unpacked libpython3.10:amd64 3.10.6-1~22.04.1
2022-11-03 18:36:41 status half-configured libpython3.10:amd64 3.10.6-1~22.04.1
2022-11-03 18:36:41 status installed libpython3.10:amd64 3.10.6-1~22.04.1
2022-11-03 18:36:41 configure python3.10:amd64 3.10.6-1~22.04.1 <none>
2022-11-03 18:36:41 status unpacked python3.10:amd64 3.10.6-1~22.04.1
2022-11-03 18:36:41 status half-configured python3.10:amd64 3.10.6-1~22.04.1
2022-11-03 18:36:42 status installed python3.10:amd64 3.10.6-1~22.04.1
2022-11-03 18:36:42 trigproc libc-bin:amd64 2.35-0ubuntu3.1 <none>
2022-11-03 18:36:42 status half-configured libc-bin:amd64 2.35-0ubuntu3.1
2022-11-03 18:36:42 status installed libc-bin:amd64 2.35-0ubuntu3.1
2022-11-03 18:36:42 trigproc man-db:amd64 2.10.2-1 <none>
2022-11-03 18:36:42 status half-configured man-db:amd64 2.10.2-1
2022-11-03 18:36:42 status installed man-db:amd64 2.10.2-1
2022-11-03 18:36:42 trigproc mailcap:all 3.70+nmu1ubuntu1 <none>
2022-11-03 18:36:42 status half-configured mailcap:all 3.70+nmu1ubuntu1
2022-11-03 18:36:42 status installed mailcap:all 3.70+nmu1ubuntu1
2022-11-03 18:36:42 trigproc desktop-file-utils:amd64 0.26-1ubuntu3 <none>
2022-11-03 18:36:42 status half-configured desktop-file-utils:amd64 0.26-1ubuntu3
2022-11-03 18:36:42 status installed desktop-file-utils:amd64 0.26-1ubuntu3
2022-11-03 18:36:42 trigproc gnome-menus:amd64 3.36.0-1ubuntu3 <none>
2022-11-03 18:36:42 status half-configured gnome-menus:amd64 3.36.0-1ubuntu3
2022-11-03 18:36:42 status installed gnome-menus:amd64 3.36.0-1ubuntu3
2022-11-03 18:36:44 startup archives unpack
2022-11-03 18:36:44 upgrade openssl:amd64 3.0.2-0ubuntu1.6 3.0.2-0ubuntu1.7
2022-11-03 18:36:44 status half-configured openssl:amd64 3.0.2-0ubuntu1.6
2022-11-03 18:36:44 status unpacked openssl:amd64 3.0.2-0ubuntu1.6
2022-11-03 18:36:44 status half-installed openssl:amd64 3.0.2-0ubuntu1.6
2022-11-03 18:36:44 status triggers-pending man-db:amd64 2.10.2-1
2022-11-03 18:36:44 status unpacked openssl:amd64 3.0.2-0ubuntu1.7
2022-11-03 18:36:44 startup packages configure
2022-11-03 18:36:44 configure openssl:amd64 3.0.2-0ubuntu1.7 <none>
2022-11-03 18:36:44 status unpacked openssl:amd64 3.0.2-0ubuntu1.7
2022-11-03 18:36:44 status half-configured openssl:amd64 3.0.2-0ubuntu1.7
2022-11-03 18:36:44 status installed openssl:amd64 3.0.2-0ubuntu1.7
2022-11-03 18:36:44 trigproc man-db:amd64 2.10.2-1 <none>
2022-11-03 18:36:44 status half-configured man-db:amd64 2.10.2-1
2022-11-03 18:36:45 status installed man-db:amd64 2.10.2-1
2022-11-03 18:36:47 startup archives unpack
2022-11-03 18:36:47 upgrade libssl-dev:amd64 3.0.2-0ubuntu1.6 3.0.2-0ubuntu1.7
2022-11-03 18:36:47 status half-configured libssl-dev:amd64 3.0.2-0ubuntu1.6
2022-11-03 18:36:47 status unpacked libssl-dev:amd64 3.0.2-0ubuntu1.6
2022-11-03 18:36:47 status half-installed libssl-dev:amd64 3.0.2-0ubuntu1.6
2022-11-03 18:36:47 status unpacked libssl-dev:amd64 3.0.2-0ubuntu1.7
2022-11-03 18:36:47 upgrade libssl3:amd64 3.0.2-0ubuntu1.6 3.0.2-0ubuntu1.7
2022-11-03 18:36:47 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.1
2022-11-03 18:36:47 status half-configured libssl3:amd64 3.0.2-0ubuntu1.6
2022-11-03 18:36:47 status unpacked libssl3:amd64 3.0.2-0ubuntu1.6
2022-11-03 18:36:47 status half-installed libssl3:amd64 3.0.2-0ubuntu1.6
2022-11-03 18:36:47 status unpacked libssl3:amd64 3.0.2-0ubuntu1.7
2022-11-03 18:36:47 startup packages configure
2022-11-03 18:36:47 configure libssl3:amd64 3.0.2-0ubuntu1.7 <none>
2022-11-03 18:36:47 status unpacked libssl3:amd64 3.0.2-0ubuntu1.7
2022-11-03 18:36:47 status half-configured libssl3:amd64 3.0.2-0ubuntu1.7
2022-11-03 18:36:47 status installed libssl3:amd64 3.0.2-0ubuntu1.7
2022-11-03 18:36:47 startup packages configure
2022-11-03 18:36:47 configure libssl-dev:amd64 3.0.2-0ubuntu1.7 <none>
2022-11-03 18:36:47 status unpacked libssl-dev:amd64 3.0.2-0ubuntu1.7
2022-11-03 18:36:47 status half-configured libssl-dev:amd64 3.0.2-0ubuntu1.7
2022-11-03 18:36:47 status installed libssl-dev:amd64 3.0.2-0ubuntu1.7
2022-11-03 18:36:47 trigproc libc-bin:amd64 2.35-0ubuntu3.1 <none>
2022-11-03 18:36:47 status half-configured libc-bin:amd64 2.35-0ubuntu3.1
2022-11-03 18:36:47 status installed libc-bin:amd64 2.35-0ubuntu3.1
2022-11-05 13:09:31 startup archives unpack
2022-11-05 13:09:31 upgrade tzdata:all 2022c-0ubuntu0.22.04.0 2022f-0ubuntu0.22.04.0
2022-11-05 13:09:31 status half-configured tzdata:all 2022c-0ubuntu0.22.04.0
2022-11-05 13:09:31 status unpacked tzdata:all 2022c-0ubuntu0.22.04.0
2022-11-05 13:09:31 status half-installed tzdata:all 2022c-0ubuntu0.22.04.0
2022-11-05 13:09:32 status unpacked tzdata:all 2022f-0ubuntu0.22.04.0
2022-11-05 13:09:32 startup packages configure
2022-11-05 13:09:32 configure tzdata:all 2022f-0ubuntu0.22.04.0 <none>
2022-11-05 13:09:32 status unpacked tzdata:all 2022f-0ubuntu0.22.04.0
2022-11-05 13:09:32 status half-configured tzdata:all 2022f-0ubuntu0.22.04.0
2022-11-05 13:09:32 status installed tzdata:all 2022f-0ubuntu0.22.04.0
2022-11-07 23:04:38 startup archives unpack
2022-11-07 23:04:38 upgrade libsqlite3-0:amd64 3.37.2-2 3.37.2-2ubuntu0.1
2022-11-07 23:04:38 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.1
2022-11-07 23:04:38 status half-configured libsqlite3-0:amd64 3.37.2-2
2022-11-07 23:04:38 status unpacked libsqlite3-0:amd64 3.37.2-2
2022-11-07 23:04:38 status half-installed libsqlite3-0:amd64 3.37.2-2
2022-11-07 23:04:38 status unpacked libsqlite3-0:amd64 3.37.2-2ubuntu0.1
2022-11-07 23:04:38 startup packages configure
2022-11-07 23:04:38 configure libsqlite3-0:amd64 3.37.2-2ubuntu0.1 <none>
2022-11-07 23:04:38 status unpacked libsqlite3-0:amd64 3.37.2-2ubuntu0.1
2022-11-07 23:04:38 status half-configured libsqlite3-0:amd64 3.37.2-2ubuntu0.1
2022-11-07 23:04:38 status installed libsqlite3-0:amd64 3.37.2-2ubuntu0.1
2022-11-07 23:04:38 trigproc libc-bin:amd64 2.35-0ubuntu3.1 <none>
2022-11-07 23:04:38 status half-configured libc-bin:amd64 2.35-0ubuntu3.1
2022-11-07 23:04:38 status installed libc-bin:amd64 2.35-0ubuntu3.1
2022-11-10 00:35:47 startup archives unpack
2022-11-10 00:35:48 upgrade php8.1-xml:amd64 8.1.2-1ubuntu2.5 8.1.2-1ubuntu2.8
2022-11-10 00:35:48 status triggers-pending libapache2-mod-php8.1:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status half-configured php8.1-xml:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status unpacked php8.1-xml:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status half-installed php8.1-xml:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status unpacked php8.1-xml:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:48 upgrade php8.1-readline:amd64 8.1.2-1ubuntu2.5 8.1.2-1ubuntu2.8
2022-11-10 00:35:48 status half-configured php8.1-readline:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status unpacked php8.1-readline:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status half-installed php8.1-readline:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status unpacked php8.1-readline:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:48 upgrade php8.1-opcache:amd64 8.1.2-1ubuntu2.5 8.1.2-1ubuntu2.8
2022-11-10 00:35:48 status half-configured php8.1-opcache:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status unpacked php8.1-opcache:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status half-installed php8.1-opcache:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status unpacked php8.1-opcache:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:48 upgrade php8.1-mysql:amd64 8.1.2-1ubuntu2.5 8.1.2-1ubuntu2.8
2022-11-10 00:35:48 status half-configured php8.1-mysql:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status unpacked php8.1-mysql:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status half-installed php8.1-mysql:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status unpacked php8.1-mysql:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:48 upgrade php8.1-mbstring:amd64 8.1.2-1ubuntu2.5 8.1.2-1ubuntu2.8
2022-11-10 00:35:48 status half-configured php8.1-mbstring:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status unpacked php8.1-mbstring:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status half-installed php8.1-mbstring:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status unpacked php8.1-mbstring:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:48 upgrade php8.1-curl:amd64 8.1.2-1ubuntu2.5 8.1.2-1ubuntu2.8
2022-11-10 00:35:48 status half-configured php8.1-curl:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status unpacked php8.1-curl:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status half-installed php8.1-curl:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status unpacked php8.1-curl:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:48 upgrade libapache2-mod-php8.1:amd64 8.1.2-1ubuntu2.5 8.1.2-1ubuntu2.8
2022-11-10 00:35:48 status half-configured libapache2-mod-php8.1:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status unpacked libapache2-mod-php8.1:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status half-installed libapache2-mod-php8.1:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status unpacked libapache2-mod-php8.1:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:48 upgrade php8.1-cli:amd64 8.1.2-1ubuntu2.5 8.1.2-1ubuntu2.8
2022-11-10 00:35:48 status half-configured php8.1-cli:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status unpacked php8.1-cli:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status half-installed php8.1-cli:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status triggers-pending man-db:amd64 2.10.2-1
2022-11-10 00:35:48 status unpacked php8.1-cli:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:48 upgrade php8.1-common:amd64 8.1.2-1ubuntu2.5 8.1.2-1ubuntu2.8
2022-11-10 00:35:48 status half-configured php8.1-common:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status unpacked php8.1-common:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:48 status half-installed php8.1-common:amd64 8.1.2-1ubuntu2.5
2022-11-10 00:35:49 status unpacked php8.1-common:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:49 startup packages configure
2022-11-10 00:35:49 configure php8.1-common:amd64 8.1.2-1ubuntu2.8 <none>
2022-11-10 00:35:49 status unpacked php8.1-common:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:49 status half-configured php8.1-common:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:53 status installed php8.1-common:amd64 8.1.2-1ubuntu2.8
2022-11-10 00:35:53 configure php8.1-curl:amd64 8.1.2-1ubuntu2.8 <none>
